periode_data,kota_kabupaten,kecamatan,jumlah_penduduk,kepadatan_penduduk,nama_fasilitas,jenis_fasilitas,latitude,longtitude,,,,,,
2023,JAKARTA SELATAN,CILANDAK,"229,571","12,774",Gelanggang Remaja Kecamatan Cilandak,Gelanggang ,-629046,10679063,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gelanggang Remaja Kota Administrasi Jakarta Selatan,Gelanggang ,"-62,423,500,295,429","10,679,645,167,308",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gedung Pertunjukan,Gelanggang ,C,dan D Gelanggang Remaja Jakarta Selatan,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gedung Olahraga (GOR) Jakarta Selatan,Gelanggang ,"-62,423,500,295,429","10,679,645,167,308",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Kolam Renang Bulungan,Renang,-6239225,106796969,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gelanggang Remaja Kecamatan Kebayoran Baru,Gelanggang ,"-62,435,051,511,637","10,676,933,205,575",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Lapangan Sepakbola Blok.S,Sepak Bola,-62369977,106815326,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Kolam Renang Bulungan,Renang,-6239225,106796969,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gelanggang Remaja Kecamatan Kebayoran Baru,Gelanggang ,"-62,435,051,511,637","10,676,933,205,575",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Lapangan Sepakbola Blok.S,Sepak Bola,-62369977,106815326,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Fasilitas Lapangan Tenis Bulungan (Semi Indoor),Tenis,-6.238E+15,1.06797E+16,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gelanggang Remaja Kota Administrasi Jakarta Selatan,Gelanggang ,"-62,423,500,295,429","10,679,645,167,308",,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gedung Pertunjukan,Gelanggang ,C,dan D Gelanggang Remaja Jakarta Selatan,,,,,,
2023,JAKARTA SELATAN,KEBAYORAN BARU,"157,346","12,201",Gedung Olahraga (GOR) Jakarta Selatan,Gelanggang ,"-62,423,500,295,429","10,679,645,167,308",,,,,,
2023,JAKARTA SELATAN,PANCORAN,"179,178","20,002",Gelanggang Remaja Kecamatan Pancoran,Gelanggang ,-625111,10686075,,,,,,
2023,JAKARTA SELATAN,PANCORAN,"179,178","20,002",Gelanggang Remaja Kecamatan Pancoran,Gelanggang ,-625111,10686075,,,,,,
2023,JAKARTA SELATAN,JAGAKARSA,"377,606","14,775",Gelanggang Remaja Kecamatan Jagakarsa,Gelanggang ,"-63,339,234,986,345","10,681,707,439,716",,,,,,
2023,JAKARTA SELATAN,JAGAKARSA,"377,606","14,775",Lapangan Ingub Jagakarsa,Sepak Bola,-6336451,106819187,,,,,,
